tag,patterns,responses
BLENDED-CLASSES-MODULES,How many modules are given for traditional blended and flex blended classes?,A minimum of two (2) and a maximum of six (6) modules per term shall be given for traditional blended and flex blended classes.
BLENDED-CLASSES-MODULES,Is there a range for the number of modules in traditional and flex blended classes?,A minimum of two (2) and a maximum of six (6) modules per term shall be given for traditional blended and flex blended classes.
BLENDED-CLASSES-MODULES,Is there a specified range for the number of modules in traditional and flex blended classes?,A minimum of two (2) and a maximum of six (6) modules per term shall be given for traditional blended and flex blended classes.
MODULE-PARTS,What are the parts of the modules to be developed?,Modules to be developed shall have the following parts:\n- Gospel/reflection/prayer;\n- Learning outcomes;\n- Lesson proper and Learning Activities;\n- Enabling and Summative Assessments.
MODULE-PARTS,What components should modules include according to the policy?,Modules to be developed shall have the following parts:\n- Gospel/reflection/prayer;\n- Learning outcomes;\n- Lesson proper and Learning Activities;\n- Enabling and Summative Assessments.
MODULE-PARTS,What are the elements that should be included in the development of modules?,Modules to be developed shall have the following parts:\n- Gospel/reflection/prayer;\n- Learning outcomes;\n- Lesson proper and Learning Activities;\n- Enabling and Summative Assessments.
ADDITIONAL-REFERENCES,Can additional learning materials be included in modules?,"Other learning materials such as PPTs, videos, texts, online materials, etc., may be included as additional references."
ADDITIONAL-REFERENCES,What types of additional references are allowed in the modules?,"Other learning materials such as PPTs, videos, texts, online materials, etc., may be included as additional references."
ADDITIONAL-REFERENCES,What categories of supplementary references are permitted in the modules?,"Other learning materials such as PPTs, videos, texts, online materials, etc., may be included as additional references."
REFERENCES-LIST,How should the list of references be presented in modules?,"The modules shall present the complete list of references:\n- There shall be a minimum of five and a maximum of ten references.\n- References shall be within the last five years except for canon, theory-based works, and seminal studies.\n- References shall be a combination of e-books, published research and articles, and other online resources.\n- Proper citation should be observed following the format prescribed by the college."
REFERENCES-LIST,What are the requirements for the references in modules?,"The modules shall present the complete list of references:\n- There shall be a minimum of five and a maximum of ten references.\n- References shall be within the last five years except for canon, theory-based works, and seminal studies.\n- References shall be a combination of e-books, published research and articles, and other online resources.\n- Proper citation should be observed following the format prescribed by the college."
REFERENCES-LIST,What is the recommended format for presenting the list of references in modules?,"The modules shall present the complete list of references:\n- There shall be a minimum of five and a maximum of ten references.\n- References shall be within the last five years except for canon, theory-based works, and seminal studies.\n- References shall be a combination of e-books, published research and articles, and other online resources.\n- Proper citation should be observed following the format prescribed by the college."
UPLOADING-SCHEDULE,When should modules be uploaded for flex blended classes?,"For flex blended classes, modules shall be uploaded on the Schoolbook at least a week before the target date of presentation. This is to ensure that materials are available for advance reading by the students.\nFor traditional and flex blended classes, modules shall be uploaded on or before the target week of presentation based on the schedule that appears in the syllabus."
UPLOADING-SCHEDULE,What is the timeframe for uploading modules for traditional and flex blended classes?,"For flex blended classes, modules shall be uploaded on the Schoolbook at least a week before the target date of presentation. This is to ensure that materials are available for advance reading by the students.\nFor traditional and flex blended classes, modules shall be uploaded on or before the target week of presentation based on the schedule that appears in the syllabus."
UPLOADING-SCHEDULE,What is the timeline for uploading modules for both traditional and flex blended classes?,"For flex blended classes, modules shall be uploaded on the Schoolbook at least a week before the target date of presentation. This is to ensure that materials are available for advance reading by the students.\nFor traditional and flex blended classes, modules shall be uploaded on or before the target week of presentation based on the schedule that appears in the syllabus."
ABSENCE-DUE-TO-MODULES,What happens if faculty members fail to upload appropriate content in the Schoolbook modules?,Faculty members who fail to upload appropriate content on the LESSON PART of the SB modules shall be deemed absent from their scheduled asynchronous classes.
ABSENCE-DUE-TO-MODULES,Is there a consequence for not uploading content in the Schoolbook modules?,Faculty members who fail to upload appropriate content on the LESSON PART of the SB modules shall be deemed absent from their scheduled asynchronous classes.
ABSENCE-DUE-TO-MODULES,What are the consequences if faculty members do not upload content in the Schoolbook modules?,Faculty members who fail to upload appropriate content on the LESSON PART of the SB modules shall be deemed absent from their scheduled asynchronous classes.
STUDENT-REQUIREMENTS,What may students be required to buy for their classes?,"Students may be required for their classes to buy books or any educational technology tools, or copyrighted modules prepared by faculty members."
STUDENT-REQUIREMENTS,Are there any specific requirements for students in terms of educational tools or modules?,"Students may be required for their classes to buy books or any educational technology tools, or copyrighted modules prepared by faculty members."
STUDENT-REQUIREMENTS,What might students need to purchase for their classes?,"Students may be required for their classes to buy books or any educational technology tools, or copyrighted modules prepared by faculty members."
TBL-MODE-F2F-CLASSES,How often do courses under TBL mode have face-to-face classes?,All courses under TBL mode shall have face-to-face classes once a week. A three-hour straight class may have face-to-face and asynchronous meetings alternately.
TBL-MODE-F2F-CLASSES,What is the schedule for face-to-face classes in courses under TBL mode?,All courses under TBL mode shall have face-to-face classes once a week. A three-hour straight class may have face-to-face and asynchronous meetings alternately.
TBL-MODE-F2F-CLASSES,How frequently are face-to-face classes conducted in courses following the TBL mode?,All courses under TBL mode shall have face-to-face classes once a week. A three-hour straight class may have face-to-face and asynchronous meetings alternately.
UPLOADING-INSTRUCTIONAL-MATERIALS,Where should syllabus and instructional materials be uploaded?,Syllabus and other instructional materials shall be uploaded on the Schoolbook.
UPLOADING-INSTRUCTIONAL-MATERIALS,Is there a specific platform for uploading syllabus and instructional materials?,Syllabus and other instructional materials shall be uploaded on the Schoolbook.
UPLOADING-INSTRUCTIONAL-MATERIALS,To which platform should syllabus and instructional materials be uploaded?,Syllabus and other instructional materials shall be uploaded on the Schoolbook.
FLEX-BLENDED-F2F-CLASSES,How are face-to-face classes scheduled for subjects under flex blended learning model?,"For subjects under the flex blended learning model, face-to-face classes shall be scheduled at least once for the midterm and once for the final period by the subject teacher concerned under the following conditions:\n- The schedule is agreed upon by both teacher and students;\n- There should be no conflict with other face-to-face classes;\n- Permission of the Department Chair should be sought;\n- The OUR (Checkers) should be duly informed of the arrangement."
FLEX-BLENDED-F2F-CLASSES,What conditions must be met for scheduling face-to-face classes in flex blended learning model?,"For subjects under the flex blended learning model, face-to-face classes shall be scheduled at least once for the midterm and once for the final period by the subject teacher concerned under the following conditions:\n- The schedule is agreed upon by both teacher and students;\n- There should be no conflict with other face-to-face classes;\n- Permission of the Department Chair should be sought;\n- The OUR (Checkers) should be duly informed of the arrangement."
FLEX-BLENDED-F2F-CLASSES,What is the procedure for scheduling face-to-face classes in subjects under the flex blended learning model?,"For subjects under the flex blended learning model, face-to-face classes shall be scheduled at least once for the midterm and once for the final period by the subject teacher concerned under the following conditions:\n- The schedule is agreed upon by both teacher and students;\n- There should be no conflict with other face-to-face classes;\n- Permission of the Department Chair should be sought;\n- The OUR (Checkers) should be duly informed of the arrangement."
ALLOWED-ACTIVITIES-ONSITE,What activities are allowed during onsite classes?,The following are allowed during onsite classes:\n- Delivery of lecture and discussion;\n- Assessment/quiz;\n- Oral defense;\n- Performance assessments.
ALLOWED-ACTIVITIES-ONSITE,Can you list the activities permitted during face-to-face classes?,The following are allowed during onsite classes:\n- Delivery of lecture and discussion;\n- Assessment/quiz;\n- Oral defense;\n- Performance assessments.
ALLOWED-ACTIVITIES-ONSITE,Could you provide a list of activities allowed during face-to-face classes?,The following are allowed during onsite classes:\n- Delivery of lecture and discussion;\n- Assessment/quiz;\n- Oral defense;\n- Performance assessments.
SYNCHRONOUS-PLATFORM,Which platform is used for synchronous classes?,Synchronous classes shall be held using MS Teams.
SYNCHRONOUS-PLATFORM,What is the designated platform for synchronous classes?,Synchronous classes shall be held using MS Teams.
SYNCHRONOUS-PLATFORM,Which specific platform is assigned for conducting synchronous classes?,Synchronous classes shall be held using MS Teams.
SYNCHRONOUS-START-END,How should synchronous classes start and end?,"Classes shall start with a gospel reading, reflection, and an opening prayer and end with a closing prayer."
SYNCHRONOUS-START-END,What are the recommended activities at the beginning and end of synchronous classes?,"Classes shall start with a gospel reading, reflection, and an opening prayer and end with a closing prayer."
SYNCHRONOUS-START-END,What is the suggested approach for commencing and concluding synchronous classes?,"Classes shall start with a gospel reading, reflection, and an opening prayer and end with a closing prayer."
SYNCHRONOUS-SCHEDULE,How are synchronous classes scheduled?,Synchronous classes shall be scheduled based solely on students\u2019 certificate of registration to avoid conflict of schedules with other classes.
SYNCHRONOUS-SCHEDULE,What is the basis for scheduling synchronous classes?,Synchronous classes shall be scheduled based solely on students\u2019 certificate of registration to avoid conflict of schedules with other classes.
SYNCHRONOUS-SCHEDULE,What is the procedure for scheduling synchronous classes?,Synchronous classes shall be scheduled based solely on students\u2019 certificate of registration to avoid conflict of schedules with other classes.
EXCUSED-FROM-SYNCHRONOUS,Under what conditions can students be excused from attending synchronous classes?,Students shall be excused from attending synchronous classes if he/she has face-to-face classes on the same day.
EXCUSED-FROM-SYNCHRONOUS,Are there valid reasons for excusing students from synchronous classes?,Students shall be excused from attending synchronous classes if he/she has face-to-face classes on the same day.
EXCUSED-FROM-SYNCHRONOUS,What circumstances warrant students being exempted from attending synchronous classes?,Students shall be excused from attending synchronous classes if he/she has face-to-face classes on the same day.
CAMERA-REQUIREMENT,Can faculty members require students to turn on their cameras during synchronous classes?,"Faculty members may require students to be on camera at the start and end of the class, and during recitation. During synchronous classes, students are required to have a decent background; otherwise, they need to apply or use background effects/blur background when the video cam is on. Decent attire shall likewise be a requirement."
CAMERA-REQUIREMENT,What are the camera requirements during synchronous classes?,"Faculty members may require students to be on camera at the start and end of the class, and during recitation. During synchronous classes, students are required to have a decent background; otherwise, they need to apply or use background effects/blur background when the video cam is on. Decent attire shall likewise be a requirement."
CAMERA-REQUIREMENT,Is it within the faculty's authority to mandate students to activate their cameras in synchronous classes?,"Faculty members may require students to be on camera at the start and end of the class, and during recitation. During synchronous classes, students are required to have a decent background; otherwise, they need to apply or use background effects/blur background when the video cam is on. Decent attire shall likewise be a requirement."
EXCUSED-FROM-SYNCHRONOUS-REASONS,Under what circumstances may a student be excused from scheduled synchronous classes?,"A student may be excused from scheduled synchronous classes due to valid reasons such as disruptions of internet connections, serious illness, death in the family, and any other reasons analogous to the foregoing."
EXCUSED-FROM-SYNCHRONOUS-REASONS,What are considered valid reasons for a student to be excused from synchronous classes?,"A student may be excused from scheduled synchronous classes due to valid reasons such as disruptions of internet connections, serious illness, death in the family, and any other reasons analogous to the foregoing."
EXCUSED-FROM-SYNCHRONOUS-REASONS,In what situations is a student eligible to be excused from scheduled synchronous classes?,"A student may be excused from scheduled synchronous classes due to valid reasons such as disruptions of internet connections, serious illness, death in the family, and any other reasons analogous to the foregoing."
RECORDING-SYNCHRONOUS-SESSIONS,Are synchronous classes recorded?,"Upon agreement among the students, all synchronous classes shall be recorded by the teacher. Recordings of synchronous classes shall be made available to the students on MS Teams for viewing and review purposes. Students shall not be allowed to record the synchronous meetings."
RECORDING-SYNCHRONOUS-SESSIONS,What is the policy on recording synchronous classes?,"Upon agreement among the students, all synchronous classes shall be recorded by the teacher. Recordings of synchronous classes shall be made available to the students on MS Teams for viewing and review purposes. Students shall not be allowed to record the synchronous meetings."
RECORDING-SYNCHRONOUS-SESSIONS,Is there a practice of recording synchronous classes?,"Upon agreement among the students, all synchronous classes shall be recorded by the teacher. Recordings of synchronous classes shall be made available to the students on MS Teams for viewing and review purposes. Students shall not be allowed to record the synchronous meetings."
DATA-PRIVACY-CYBERBULLYING,What measures are taken to ensure data privacy and prevent cyberbullying in relation to recording synchronous sessions?,"The University shall exercise due diligence in adhering to data privacy laws and preventing the possible occurrence of cyberbullying; otherwise, it shall be liable for any breach arising from the recording of synchronous sessions and their use or misuse."
DATA-PRIVACY-CYBERBULLYING,How does the University handle data privacy and cyberbullying concerns related to recording synchronous sessions?,"The University shall exercise due diligence in adhering to data privacy laws and preventing the possible occurrence of cyberbullying; otherwise, it shall be liable for any breach arising from the recording of synchronous sessions and their use or misuse."
DATA-PRIVACY-CYBERBULLYING,What steps are implemented to safeguard data privacy and mitigate cyberbullying risks concerning the recording of synchronous sessions?,"The University shall exercise due diligence in adhering to data privacy laws and preventing the possible occurrence of cyberbullying; otherwise, it shall be liable for any breach arising from the recording of synchronous sessions and their use or misuse."
FLEX-BLENDED-ATTENDANCE,How is attendance managed for flex blended classes with synchronous sessions?,"For flex blended classes, teachers shall be required to e-submit within THREE days after the holding of synchronous session to the department secretaries concerned sheets which are downloadable from MS Teams. The submitted attendance sheets will then be submitted to the assigned checker of the department by the secretary."
FLEX-BLENDED-ATTENDANCE,Is there a specific process for attendance in flex blended synchronous sessions?,"For flex blended classes, teachers shall be required to e-submit within THREE days after the holding of synchronous session to the department secretaries concerned sheets which are downloadable from MS Teams. The submitted attendance sheets will then be submitted to the assigned checker of the department by the secretary."
FLEX-BLENDED-ATTENDANCE,Is there a designated process for managing attendance in flex blended synchronous sessions?,"For flex blended classes, teachers shall be required to e-submit within THREE days after the holding of synchronous session to the department secretaries concerned sheets which are downloadable from MS Teams. The submitted attendance sheets will then be submitted to the assigned checker of the department by the secretary."
TRADITIONAL-BLENDED-SYNCHRONOUS,Are synchronous classes allowed in traditional blended classes?,"For Traditional Blended Classes, holding synchronous classes may be allowed provided it is not in conflict with face-to-face classes on the same day. However, this provision shall be observed consistent with 6.7.7."
TRADITIONAL-BLENDED-SYNCHRONOUS,Under what conditions are synchronous classes allowed in traditional blended classes?,"For Traditional Blended Classes, holding synchronous classes may be allowed provided it is not in conflict with face-to-face classes on the same day. However, this provision shall be observed consistent with 6.7.7."
TRADITIONAL-BLENDED-SYNCHRONOUS,Is it permissible to conduct synchronous classes in traditional blended classes?,"For Traditional Blended Classes, holding synchronous classes may be allowed provided it is not in conflict with face-to-face classes on the same day. However, this provision shall be observed consistent with 6.7.7."
ASYNCHRONOUS-ACTIVITIES,What activities constitute asynchronous activities?,"Individual and group tasks, graded assessments, and reading tasks shall constitute asynchronous activities."
ASYNCHRONOUS-ACTIVITIES,Can you provide examples of asynchronous activities?,"Individual and group tasks, graded assessments, and reading tasks shall constitute asynchronous activities."
ASYNCHRONOUS-ACTIVITIES,Which activities fall under the category of asynchronous activities?,"Individual and group tasks, graded assessments, and reading tasks shall constitute asynchronous activities."
RESPONDING-QUERIES-CONCERNS,What guidelines should be followed when responding to students' queries/concerns?,"The following guidelines shall be followed when responding to students\u2019 queries/concerns:\n- Teachers must be able to respond to students\u2019 queries/concerns within 48 hours upon receipt of the same unless it falls on weekends or holidays, which shall be handled promptly the following working day.\n- MS Teams chat, SB messages, and DLSU-D e-mail shall be used by students to send their queries or concerns to their teacher. SMS or any social media platform may be used by students to send their concerns provided that they strictly comply with data-privacy related laws.\n- The time for sending queries by the students to his/her teacher shall be capped or limited. It may be discussed and agreed upon by the teacher and the students during the first day of class."
RESPONDING-QUERIES-CONCERNS,How should teachers respond to students' queries or concerns?,"The following guidelines shall be followed when responding to students\u2019 queries/concerns:\n- Teachers must be able to respond to students\u2019 queries/concerns within 48 hours upon receipt of the same unless it falls on weekends or holidays, which shall be handled promptly the following working day.\n- MS Teams chat, SB messages, and DLSU-D e-mail shall be used by students to send their queries or concerns to their teacher. SMS or any social media platform may be used by students to send their concerns provided that they strictly comply with data-privacy related laws.\n- The time for sending queries by the students to his/her teacher shall be capped or limited. It may be discussed and agreed upon by the teacher and the students during the first day of class."
RESPONDING-QUERIES-CONCERNS,How are teachers expected to respond to inquiries or issues raised by students?,"The following guidelines shall be followed when responding to students\u2019 queries/concerns:\n- Teachers must be able to respond to students\u2019 queries/concerns within 48 hours upon receipt of the same unless it falls on weekends or holidays, which shall be handled promptly the following working day.\n- MS Teams chat, SB messages, and DLSU-D e-mail shall be used by students to send their queries or concerns to their teacher. SMS or any social media platform may be used by students to send their concerns provided that they strictly comply with data-privacy related laws.\n- The time for sending queries by the students to his/her teacher shall be capped or limited. It may be discussed and agreed upon by the teacher and the students during the first day of class."
TEACHERS-ONLINE-ASYNCHRONOUS-MODE,Are teachers required to be online when their classes are on asynchronous mode?,Teachers shall not be required to be online when their classes are on asynchronous mode.
TEACHERS-ONLINE-ASYNCHRONOUS-MODE,What is the expectation for teachers during asynchronous mode classes?,Teachers shall not be required to be online when their classes are on asynchronous mode.
TEACHERS-ONLINE-ASYNCHRONOUS-MODE,Is it mandatory for teachers to be online when their classes are in asynchronous mode?,Teachers shall not be required to be online when their classes are on asynchronous mode.
CONSULTATION-HOURS-OBSERVANCE,How should consultation hours be observed?,Observance of consultation hours (CH) shall be 50% onsite and 50% asynchronous.
CONSULTATION-HOURS-OBSERVANCE,What is the recommended approach for observing consultation hours?,Observance of consultation hours (CH) shall be 50% onsite and 50% asynchronous.
CONSULTATION-HOURS-OBSERVANCE,What is the prescribed manner for conducting consultation hours?,Observance of consultation hours (CH) shall be 50% onsite and 50% asynchronous.
SUMMATIVE-ASSESSMENTS,How many summative assessments are there for the entire semester?,There shall be two summative assessments (midterm and final exams) for the entire semester. Summative Assessment shall be scheduled strictly during the Major Exam Week (Midterm and final exam week) stipulated in the institutional calendar.
SUMMATIVE-ASSESSMENTS,When are the summative assessments scheduled?,There shall be two summative assessments (midterm and final exams) for the entire semester. Summative Assessment shall be scheduled strictly during the Major Exam Week (Midterm and final exam week) stipulated in the institutional calendar.
SUMMATIVE-ASSESSMENTS,What is the total count of summative assessments for the semester?,There shall be two summative assessments (midterm and final exams) for the entire semester. Summative Assessment shall be scheduled strictly during the Major Exam Week (Midterm and final exam week) stipulated in the institutional calendar.
ONLINE-SUMMATIVE-ASSESSMENTS,How are online summative assessments conducted?,Online summative assessments shall be uploaded on SB and shall be accessible for a minimum of one (1) day for quiz type and a minimum of 6 days for output-based assessments. The number of attempts and duration when the summative assessment is accessible to the students and the time allotted to answer the summative assessment shall be determined by the departments concerned.
ONLINE-SUMMATIVE-ASSESSMENTS,What are the guidelines for online summative assessments?,Online summative assessments shall be uploaded on SB and shall be accessible for a minimum of one (1) day for quiz type and a minimum of 6 days for output-based assessments. The number of attempts and duration when the summative assessment is accessible to the students and the time allotted to answer the summative assessment shall be determined by the departments concerned.
ONLINE-SUMMATIVE-ASSESSMENTS,What is the procedure for conducting online summative assessments?,Online summative assessments shall be uploaded on SB and shall be accessible for a minimum of one (1) day for quiz type and a minimum of 6 days for output-based assessments. The number of attempts and duration when the summative assessment is accessible to the students and the time allotted to answer the summative assessment shall be determined by the departments concerned.
ENABLING-ASSESSMENTS,How many enabling assessments are required per term?,"There shall be a minimum of three and maximum of five enabling assessments per term. When giving enabling assessments, a maximum of two enabling assessments shall be allowed during the week. A minimum of two attempts shall be observed when answering online enabling assessments. Online enabling assessments shall be uploaded on SB and shall be accessible to students for a minimum of one day for quiz type and a minimum of six days for output-based assessments."
ENABLING-ASSESSMENTS,What are the guidelines for enabling assessments?,"There shall be a minimum of three and maximum of five enabling assessments per term. When giving enabling assessments, a maximum of two enabling assessments shall be allowed during the week. A minimum of two attempts shall be observed when answering online enabling assessments. Online enabling assessments shall be uploaded on SB and shall be accessible to students for a minimum of one day for quiz type and a minimum of six days for output-based assessments."
ENABLING-ASSESSMENTS,What is the stipulated number of enabling assessments per term?,"There shall be a minimum of three and maximum of five enabling assessments per term. When giving enabling assessments, a maximum of two enabling assessments shall be allowed during the week. A minimum of two attempts shall be observed when answering online enabling assessments. Online enabling assessments shall be uploaded on SB and shall be accessible to students for a minimum of one day for quiz type and a minimum of six days for output-based assessments."
GRADING-SYSTEM,How is the grading system determined?,"The department shall decide on the grading system provided that 30% shall be allotted for summative assessments and the remaining percentage shall be allotted for class participation and enabling assessments.\nThere shall be a maximum of FIVE Graded class participation activities on the Schoolbook for each period (Midterm and Final).\nDepartments concerned shall determine the appropriate grading system to be implemented.\nFor transparency purposes, teachers shall be required to configure correctly the SB Gradebook vis-a-vis the breakdown of grades stipulated in the syllabus in order to reflect the respective grades of students. All assessments (enabling and summative) whether online or onsite, shall be reflected in the SB Gradebook."
GRADING-SYSTEM,What percentage is allotted for each kind of assessment?,"The department shall decide on the grading system provided that 30% shall be allotted for summative assessments and the remaining percentage shall be allotted for class participation and enabling assessments.\nThere shall be a maximum of FIVE Graded class participation activities on the Schoolbook for each period (Midterm and Final).\nDepartments concerned shall determine the appropriate grading system to be implemented.\nFor transparency purposes, teachers shall be required to configure correctly the SB Gradebook vis-a-vis the breakdown of grades stipulated in the syllabus in order to reflect the respective grades of students. All assessments (enabling and summative) whether online or onsite, shall be reflected in the SB Gradebook."
GRADING-SYSTEM,What factors contribute to the determination of the grading system?,"The department shall decide on the grading system provided that 30% shall be allotted for summative assessments and the remaining percentage shall be allotted for class participation and enabling assessments.\nThere shall be a maximum of FIVE Graded class participation activities on the Schoolbook for each period (Midterm and Final).\nDepartments concerned shall determine the appropriate grading system to be implemented.\nFor transparency purposes, teachers shall be required to configure correctly the SB Gradebook vis-a-vis the breakdown of grades stipulated in the syllabus in order to reflect the respective grades of students. All assessments (enabling and summative) whether online or onsite, shall be reflected in the SB Gradebook."
SUMMATIVE-ASSESSMENTS,How many summative assessments are there for the entire semester?,There shall be two summative assessments (midterm and final exams) for the entire semester. Summative Assessment shall be scheduled strictly during the Major Exam Week (Midterm and final exam week) stipulated in the institutional calendar.
SUMMATIVE-ASSESSMENTS,When are summative assessments scheduled?,There shall be two summative assessments (midterm and final exams) for the entire semester. Summative Assessment shall be scheduled strictly during the Major Exam Week (Midterm and final exam week) stipulated in the institutional calendar.
SUMMATIVE-ASSESSMENTS,How many summative assessments are designated for the entire semester?,There shall be two summative assessments (midterm and final exams) for the entire semester. Summative Assessment shall be scheduled strictly during the Major Exam Week (Midterm and final exam week) stipulated in the institutional calendar.
ONLINE-SUMMATIVE-ASSESSMENTS,How are online summative assessments conducted?,Online summative assessments shall be uploaded on SB and shall be accessible for a minimum of one (1) day for quiz type and a minimum of 6 days for output-based assessments. The number of attempts and duration when the summative assessment is accessible to the students and the time allotted to answer the summative assessment shall be determined by the departments concerned.
ONLINE-SUMMATIVE-ASSESSMENTS,What is the duration for online summative assessments?,Online summative assessments shall be uploaded on SB and shall be accessible for a minimum of one (1) day for quiz type and a minimum of 6 days for output-based assessments. The number of attempts and duration when the summative assessment is accessible to the students and the time allotted to answer the summative assessment shall be determined by the departments concerned.
ONLINE-SUMMATIVE-ASSESSMENTS,How long can I take my online summative assessment?,Online summative assessments shall be uploaded on SB and shall be accessible for a minimum of one (1) day for quiz type and a minimum of 6 days for output-based assessments. The number of attempts and duration when the summative assessment is accessible to the students and the time allotted to answer the summative assessment shall be determined by the departments concerned.
ENABLING-ASSESSMENTS,How many enabling assessments are required per term?,"There shall be a minimum of three and maximum of five enabling assessments per term, and submission may be based on the discretion of the department. When giving enabling assessments, a maximum of two enabling assessments shall be allowed during the week."
ENABLING-ASSESSMENTS,What is the submission policy for enabling assessments?,"There shall be a minimum of three and maximum of five enabling assessments per term, and submission may be based on the discretion of the department. When giving enabling assessments, a maximum of two enabling assessments shall be allowed during the week."
ENABLING-ASSESSMENTS,What is the minimum and maximum number of enabling assessments per term?,"There shall be a minimum of three and maximum of five enabling assessments per term, and submission may be based on the discretion of the department. When giving enabling assessments, a maximum of two enabling assessments shall be allowed during the week."
ONLINE-ASSESSMENTS-DEADLINES,Are there specific rules regarding deadlines for online assessments?,"Uploading and setting deadlines of enabling assessments shall not be allowed during Summative Assessment Week. During suspension of classes, all online assessments shall be extended. The number of days for extension of assessments shall be based on the number of days when classes are suspended. However, the deadline of submission shall not fall on Sunday or holiday."
ONLINE-ASSESSMENTS-DEADLINES,What guidelines should be followed for setting deadlines of online assessments?,"Uploading and setting deadlines of enabling assessments shall not be allowed during Summative Assessment Week. During suspension of classes, all online assessments shall be extended. The number of days for extension of assessments shall be based on the number of days when classes are suspended. However, the deadline of submission shall not fall on Sunday or holiday."
ONLINE-ASSESSMENTS-DEADLINES,Can online enabling assessments be extended?,"Uploading and setting deadlines of enabling assessments shall not be allowed during Summative Assessment Week. During suspension of classes, all online assessments shall be extended. The number of days for extension of assessments shall be based on the number of days when classes are suspended. However, the deadline of submission shall not fall on Sunday or holiday."
GRADEBOOK-CONFIGURATION,What is required for teachers in terms of the SB Gradebook?,"For transparency purposes, teachers shall be required to configure correctly the SB Gradebook vis-a-vis the breakdown of grades stipulated in the syllabus in order to reflect the respective grades of students. All assessments (enabling and summative) whether online or onsite, shall be reflected in the SB Gradebook."
GRADEBOOK-CONFIGURATION,How should teachers configure the SB Gradebook?,"For transparency purposes, teachers shall be required to configure correctly the SB Gradebook vis-a-vis the breakdown of grades stipulated in the syllabus in order to reflect the respective grades of students. All assessments (enabling and summative) whether online or onsite, shall be reflected in the SB Gradebook."
GRADEBOOK-CONFIGURATION,Are teachers required to show the breakdown of grades in the Schoolbook Gradebook?,"For transparency purposes, teachers shall be required to configure correctly the SB Gradebook vis-a-vis the breakdown of grades stipulated in the syllabus in order to reflect the respective grades of students. All assessments (enabling and summative) whether online or onsite, shall be reflected in the SB Gradebook."
SUMMATIVE-ASSESSMENTS,How many summative assessments are there for the entire semester?,There shall be two summative assessments (midterm and final exams) for the entire semester. Summative Assessment shall be scheduled strictly during the Major Exam Week (Midterm and final exam week) stipulated in the institutional calendar.
SUMMATIVE-ASSESSMENTS,When are summative assessments scheduled?,There shall be two summative assessments (midterm and final exams) for the entire semester. Summative Assessment shall be scheduled strictly during the Major Exam Week (Midterm and final exam week) stipulated in the institutional calendar.
SUMMATIVE-ASSESSMENTS,Is the schedule of summative assessment strict?,There shall be two summative assessments (midterm and final exams) for the entire semester. Summative Assessment shall be scheduled strictly during the Major Exam Week (Midterm and final exam week) stipulated in the institutional calendar.
ONLINE-SUMMATIVE-ASSESSMENTS,What are the key features of online summative assessments?,"Online summative assessments shall be uploaded on SB and shall be accessible for a minimum of one (1) day for quiz type and a minimum of 6 days for output-based assessments. An online summative assessment may come in two parts, but it shall follow the premise of provisions 6.9.4, 6.9.7, and 6.9.8. It shall likewise be stipulated in the course syllabus."
ONLINE-SUMMATIVE-ASSESSMENTS,How long are online summative assessments accessible to students?,"Online summative assessments shall be uploaded on SB and shall be accessible for a minimum of one (1) day for quiz type and a minimum of 6 days for output-based assessments. An online summative assessment may come in two parts, but it shall follow the premise of provisions 6.9.4, 6.9.7, and 6.9.8. It shall likewise be stipulated in the course syllabus."
ONLINE-SUMMATIVE-ASSESSMENTS,What is the duration of accessibility for online summative assessments for students?,"Online summative assessments shall be uploaded on SB and shall be accessible for a minimum of one (1) day for quiz type and a minimum of 6 days for output-based assessments. An online summative assessment may come in two parts, but it shall follow the premise of provisions 6.9.4, 6.9.7, and 6.9.8. It shall likewise be stipulated in the course syllabus."
FLEX-BLENDED-ASSESSEMENTS,How is the summative assessment conducted for flex blended classes?,"For flex blended classes, output-based summative assessment shall be given to students at least fifteen days prior to the scheduled Summative Exam Week. The number of attempts and duration when the summative assessment is accessible to the students and the time allotted to answer the summative assessment shall be determined by the departments concerned. Anything that has been agreed upon in the departmental level shall be discussed with students during their first day in class."
FLEX-BLENDED-ASSESSEMENTS,When are output-based summative assessments given to flex blended classes?,"For flex blended classes, output-based summative assessment shall be given to students at least fifteen days prior to the scheduled Summative Exam Week. The number of attempts and duration when the summative assessment is accessible to the students and the time allotted to answer the summative assessment shall be determined by the departments concerned. Anything that has been agreed upon in the departmental level shall be discussed with students during their first day in class."
FLEX-BLENDED-ASSESSEMENTS,What is the process for conducting summative assessments in flex blended classes?,"For flex blended classes, output-based summative assessment shall be given to students at least fifteen days prior to the scheduled Summative Exam Week. The number of attempts and duration when the summative assessment is accessible to the students and the time allotted to answer the summative assessment shall be determined by the departments concerned. Anything that has been agreed upon in the departmental level shall be discussed with students during their first day in class."
ENABLING-ASSESSMENTS,How many enabling assessments are required per term?,"There shall be a minimum of three and a maximum of five enabling assessments per term, and submission may be based on the discretion of the department. When giving enabling assessments, a maximum of two enabling assessments shall be allowed during the week."
ENABLING-ASSESSMENTS,What is the submission policy for enabling assessments?,"There shall be a minimum of three and a maximum of five enabling assessments per term, and submission may be based on the discretion of the department. When giving enabling assessments, a maximum of two enabling assessments shall be allowed during the week."
